kho,vi
ăp xe toh là dùl bơta kòp mồr tàm toh,áp xe tuyến vú là một bệnh nhiễm trùng ở vú
"mpồl lơh broă ntrờn kơrian kòp gơtờp lơh broă ngai kung bè mang bơh càr tus sàh, sơnah ƀòn, ƀòn drà dềt","đội cơ động chống dịch thực hiện trực 24/24 từ tuyến tỉnh đến tuyến xã, phường, thị trấn"
"geh uă cau kòp tŭ lòt hìu sơnơm kham, ƀăk sĩ sồr reh mơya cau kòp ờ bài reh, tài rơngòt dilah reh den lơh gơbàn jê kồr, lơh gơ rềng tus pràn kơldang să jan","có không ít bệnh nhân, khi tới bệnh viện khám, bác sĩ chỉ định phẫu thuật nhưng bệnh nhân từ chối vì sợ phẫu thuật sẽ gây đau đớn, ảnh hưởng đến sức khỏe"
"trang să pràn, pà sơnơm ờ ai priă làng bol jơi bơtiàn in","khám sức khỏe, phát thuốc miễn phí cho đồng bào dân tộc"
"dum mắt, kiat ji sra kon mắt","đỏ mắt, ngứa rát cộm mắt"
"phan cau pà ơdi nùs oh mi, pơnyơu: sơbông um bồ ơdi mờ sŏ...hơ̆ tàm ai phan tờm ngui is","bởi đồ được phát có thể không hợp với chị em, ví như dầu gội được phát không hợp với tóc, sữa tắm không hợp với da,… khi đó chị em lấy đồ dùng mình mang theo sử dụng"
"ală broă lơh rơcang sơndră kòp uă ngan là gàr kloh niam să jan, gàr kloh niam tiah ơm kis, ngui pràn sền gàr să jan tŭ lơh broă dilah lơh broă ơm rềp mờ ù","các biện pháp phòng bệnh chủ yếu là đảm bảo vệ sinh cá nhân, vệ sinh môi trường, sử dụng bảo hộ lao động khi làm việc có tiếp xúc với đất, bùn, nước bị nhiễm khuẩn hoặc trong môi trường không đảm bảo vệ sinh"
"sùm gàr ram tềng tiah gơtìp kùh mờ broă pih sơnơm lơh ram uă dơ̆, 03 dơ̆ tàm 1 ngai, pih mờ tơnơ̆ mờ tŭ um mờ ală tŭ lơi di lah gơlơh kơnrañ tềng kơl tao","thường xuyên giữ ấm ở vùng bị vảy nến, và việc bôi thuốc làm ấm nhiều lần, 3 lần một ngày, bôi sau khi tắm và ở những lúc cảm thấy như bị khô ở da"
"tŭ sền gàr kơltau ai kòn dềt bơtờp toh dà in, pal gàr sàng ai ală anih sồt aniai kơltau pŭ dà, gơtùi ngui sơnơm lơh kloh ƀơ̆ dilah geh bơtờp tai kòp ndai","khi chăm sóc da cho trẻ mắc thủy đậu, cần giữ sạch sẽ cho các vùng tổn thương da bóng nước, có thể sử dụng thuốc sát trùng nếu có bội nhiễm"
"mò la thị chiến, jơi bơtiàn thăi hơ ƀòn bều 2 boh bơr: “bơh ngai geh “tùh sơnơm gah nhàr lơgar”, pah dơ̆ kòp tê jê să, mìng lơh hòi điện thoại lah kuang bàng tus trang, pà sơnơm, să jan pràn kơldăng lơh niam oă ngăn","bà la thị chiến, dân tộc thái ở bản vều 2 tâm sự: “từ ngày có “tủ thuốc biên cương”, cứ đau ốm, chỉ cần gọi điện là cán bộ đến khám, cho thuốc, sức khỏe cải thiện rất nhiều"
"tàm hơ̆, 396 tiah geh kòp geh bơsong bơh broă lơh ƀồm dà sơnơm pơgồp bal mờ gơsơ̆t kih dà mờ 551 tiah geh kòp geh bơsong mờ broă lơh gơsơ̆t kih dà","trong đó, 396 ổ dịch được xử lý bằng hình thức phun hóa chất kết hợp diệt lăng quăng và 551 ổ dịch được xử lý bằng hình thức diệt lăng quăng"
"cau hìu bơnhă cau kòp pà gĭt, ồng đa gŏ să jan pràn kơldang bè ờs den tàng neh ơm hùc sơnơm huyết ăp 2 ngai, ồng lòt hờ sươn lơh broă den nisơna gŏ kal ke tă nhơm, mờ gơtìp gơpừ să tơn","người nhà bệnh nhân cho biết, ông đa thấy cơ thể khỏe mạnh bình thường nên đã ngưng thuốc huyết áp hai ngày, ông ra vườn lao động thì bỗng nhiên thấy khó thở, người gục xuống"
"dơ̆ bàr là ală kòp gơrềng tus klờm, leh, gùng dà đồm geh tơl bơta niam nàng jồp tăp ha là reh","thứ hai là các bệnh lý liên quan đến gan, thận, tuyến giáp xem có đủ điều kiện chọc hút trứng hay can thiệp thủ thuật"
"geh uă tŭ să tờm añ moăt ngan, tài gơtìp kòp mơya tài geh kòn ờ gơtìp kòp mờ geh bơta pràn nàng pơn jăt tai kis","nhiều khi mình tủi thân, tuyệt vọng vì căn bệnh nhưng nhờ có đứa con không bị lây nhiễm mà có động lực để tiếp tục sống"
"ƀăk sĩ trần thanh quý đơs: “geh 2, 3 nă cau den bol he ờ gơtùi sền gròi den hòi là huyết ăp ơm ndơp",bác sĩ trần thanh quý nói: “có một số trường hợp chúng ta không kiểm soát kịp được thì gọi là huyết áp ẩn dấu
"gơ wèt mờ đồm sơdàng type 2, ală jơnau tơnggŏ gơbàn ngềt ngơ̆t tàm tơngai jòng","đối với đái tháo đường type 2, các triệu chứng diễn tiến âm thầm trong thời gian dài"
"lơh sir hìu ơm hìu bơnhă mò thị ta in tềng ƀòn giă, càr ƀòn phươ̆c hà, kơnhuàl thuận nam","hoàn thiện ngôi nhà cho gia đình bà thị ta tại thôn giá, xã phước hà, huyện thuận nam"
tơnơ̆ hơ̆ bi sơnđờm geh ală toh pơrhê,"sau đó, anh bắt đầu xuất hiện các nốt phát ban"
"bulah bè hơ̆, uă ir bitamin d digơlan lơh gơbàn aniai kơn jơ̆ ngan","tuy nhiên, quá liều vitamin d có thể gây tác hại nghiêm trọng"
"bulah bè hơ̆, dilah cĭt insulin ờ di digơlan lơh sơbơng roh tus màng kis cau kòp dê",tuy nhiên nếu tiêm insulin sai cách có thể gây nguy hiểm tới tính mạng người bệnh
cau ling sền gàr nhàr ù lơgar đắk nông trang kòp làng bol in,bộ đội biên phòng đắk nông khám bệnh cho đồng bào
"ală cau đơng deh ƀòn ơm neh lơh jăt cồng nha broă yal tơng git, yal sơđio, gŏ git mơ pà lòt mơ hìu sơnơm ală cau me gam bun geh gơtìp gơsrèp gùng mhàm bơnah deh dùh","các cđtb đã thực hiện hiệu quả việc tuyên truyền, tư vấn, phát hiện và chuyển tuyến kịp thời cho các bà mẹ mang thai có nguy cơ tai biến sản khoa"
"tơnơ̆ tŭ lik bơdìh rê halà ơm rềp mờ ală phan tiah mpồl bơtiàn, bơyô ràu tĕ tê kơrhia ngan mờ sơƀong halà dà lơh kloh khuẩn nàng lơh chơt tơn roh jơh ală phan lơh gơbàn kòp","sau khi ra ngoài về hoặc tiếp xúc với các bề mặt nơi công cộng, bạn hãy rửa tay cẩn thận với xà phòng hoặc dung dịch sát khuẩn để loại bỏ triệt để các yếu tố gây bệnh"
"pơgăp dùl poh rềp ndo, khà cau kòp tus kham mờ sơm kòp jê măt klồng tàm ală anih lơh sơnơm, cơldŭ kham is làng bol dê lơh gơguh nisơna","khoảng một tuần trở lại đây, số lượng người bệnh đến kiểm tra và điều trị đau mắt đỏ tại các cơ sở y tế, phòng khám tư nhân tăng đột ngột"
"mơkung tơngguh tai bơta pơgồp bal đah hìu bơsram mờ ală anih lơh sơnơm, pơgồp bơnah tơngguh uă bơta niam kham sơm kòp kơnòm bơsram ai kơnòm bơsram jơi bơtiàn dồ êt nă cau, tiah sar, tiah ngài gam uă kal ke in","đồng thời, tăng cường sự phối hợp giữa nhà trường và các cơ sở y tế, góp phần nâng cao chất lượng chăm sóc sức khỏe học đường cho học sinh dtts, vùng sâu, vùng xa còn nhiều khó khăn"
bal bè hơ̆ lơh pơnđồp đềt mềr bal mơ ală ani ơm tam càr lơh guh broă lơh yal tơng git tơng gume bhyt,đồng thời phối hợp chặt chẽ với các địa phương trong tỉnh tăng cường công tác tuyên tăng cường công tác tuyên truyền chính sách bhyt
mò ănh gơtìp bĭc sùm ờ kah tai rlau dùl ngai,bà ánh bị hôn mê sâu hơn một ngày
"ờ mìng lơh git còp trang, sơng ka să jan pràn kơldang bơh sơnrờp, cau lơh sơnơm tam ƀòn, ƀòn ơm hơ tiah jrô, tiah ngài lào cai dê gam lah ală cau yal tơng git cồng nha","không chỉ biết thăm khám, chăm sóc sức khỏe ban đầu, nhân viên y tế thôn, bản ở vùng sâu, vùng xa của lào cai còn là những tuyên truyền viên hiệu quả"
"bulah ală jơnau tơngŏ do bơh sơnrờp gơlơh bè nggờc, mơya digơlan mhar ngan gơbàn kơn jơ̆, tài bè hơ̆ ờ gŏ di sền ờ sơ̆p","mặc dù những triệu chứng này ban đầu có vẻ nhẹ, nhưng có thể nhanh chóng chuyển nặng, vì vậy không nên bỏ qua"
"bè ờs ală cau ờ hềt geh kham den kơlôi là bol añ jòi priă, den tàng geh ală jơnau đơs, broă lơh sền ờ sơ̆p mờ tus tơn mờ broă lơh bol añ dê","thông thường những trường hợp chưa được thăm khám sẽ nghĩ chúng tôi vòi tiền, họ có những lời nói, thái độ xem thường và can thiệp luôn vào chuyên môn của chúng tôi"
"bơh bồ sơnăm tus ndo, càr đắk lắk sền geh gŏ hơdang 2.700 nă cau gơlơh kòp kòp mprơm gơlik mhàm tềng 15/15 kơnhuàl, ƀòn drà dờng, ƀòn dờng","từ đầu năm tới nay, tỉnh đắk lắk ghi nhận trên 2.700 trường hợp mắc sốt xuất huyết tại 15/15 huyện, thị xã, thành phố"
gơbàn kơn jơ̆ bơh kòp ƀạk hầu dê,biến chứng của bệnh bạch hầu
să tờm mò hồng mờ cau tàm hìu bơnhă ờ hềt tŭ lơi cĭt baccine rơcăng kòp,bản thân bà hồng và người thân trong gia đình chưa bao giờ tiêm vắc xin phòng cúm
"mpồl cau lơh sơnơm crềt sơnơm lơh kloh, kơsơt lăng quăng, bọ gậy tềng ƀòn drà mỹ quý, ƀòn dờng long xuyên (an giang)","lực lượng y tế phun thuốc khử trùng, diệt lăng quăng, bọ gậy tại phường mỹ quý, thành phố long xuyên (an giang)"
"tàm càr dăk lăk, tàm ngai 07/6/2022, cau kòp whitmore sơn rờp geh git gŏ tàm thôn chiềng, xã ia lốp, kơnhuàl ea sŭp","tại đắk lắk, vào ngày 7/6/2022, ca bệnh whitmore đầu tiên được phát hiện tại thôn chiềng, xã ia lốp, huyện ea súp"
"nàng wă rơlao tai bè kòp gơguh huyết ăp, ală bơta di gơlan gơlik geh bal mờ ală bơta ngòt rơngơ̆t, cau ai tơngit jơnau đơs do neh geh dơ̆ lùp ƀăk sĩ cuyên khoa i trần thanh quý, kwang atbồ khoa kấp kấu hồi sứk tic kựk sơndră khih, hìu sơnơm ƀòn dờng buôn ma thuột, càr dăk lăk","để hiểu thêm về bệnh tăng huyết áp, các nguy cơ và những biến chứng nguy hiểm, phóng viên đã có cuộc trao đổi bác sĩ chuyên khoa i trần thanh quý - trưởng khoa cấp cứu hồi sức tích cực chống độc, bệnh viện đa khoa thành phố buôn ma thuột, đắk lắk"
dilah kòp ờ geh git gŏ gờñ mờ sơm di tŭ den rơp gơ lời wơl jơnau ờ niam sơbơng roh ngan,nếu như bệnh không được phát hiện sớm và điều trị kịp thời thì sẽ để lại di chứng rất nguy hiểm
"băc sĩ trần thị mỹ giêng: nàng rcang gàr lài deh kòn ờ tơl nhai, pal gĭt ală bơta pơhìn lơh gơbàn deh kòn ờ tơl nhai",bác sĩ trần thị mỹ giêng: để dự phòng sinh non thì mình phải biết những yếu tố nguy cơ gây sinh non
broă sơm is bè hơ̆ sơbơng roh ngan ai măt in tài bơh geh sơnơm lơh gơmù bơta pràn ờ bơtờp kòp măt in,việc tự ý chữa trị như vậy rất tiềm ẩn nguy cơ cho mắt vì có chứa chất gây suy giảm miễn dịch ở mắt
gơlơh să gờñ là bơta pal kơlôi rơcăng ngan tŭ do,dậy thì sớm là vấn đề đáng lo ngại hiện nay
"lơh gơbàn as sồt gùng tă nhơm, gơ lìu dà tàm klờm soh, as sồt klờm soh halà as pŭ klờm soh gơbàn jroă mhar, dilah ờ geh sơm, màng kis cau kòp dê digơlan gơ pơhìn","gây nhiễm trùng đường hô hấp, tràn dịch màng phổi, viêm phổi hoặc phù phổi nghiêm trọng, nếu không được chữa trị kịp lúc, tính mạng người bệnh có thể bị đe dọa"
"lŏ h’ đi ê êñuôl pà git: “añ gŏ bơta gơtờp kòp rang gam kal ke ngan, ală càr ndai neh gơtờp kòp rang pràn ngan","chị h’đi ê ênuôl chia sẻ: tôi thấy tình hình dịch sởi đang rất căng thẳng, các tỉnh khác đã bùng phát dịch sởi mạnh"
"den tàng, tŭ geh tềl tơnggŏ kòp dê den cau kòp pal tus ală anih kham sơm kòp geh bơngă pin dờn, ală hìu sơnơm geh kha kòp bơtờp nàng kham, bañ lòt tis tus ală anih kham sơm kòp dùl nă să is, kung bañ blơi is sơnơm nàng hùc tàm hìu","do đó, khi có biểu hiện của bệnh thì bệnh nhân cần đến những cơ sở y tế uy tín, các bệnh viện có chuyên khoa truyền nhiễm để khám, không nên tuỳ tiện lựa chọn phòng mạch tư, cũng không được phép tự ý mua thuốc điều trị tại nhà"
mìng tŭ gơlik geh uă kơnòm dềt gơtìp kòp hơ̆ sồng geh yal,chỉ khi có nhiều trẻ mắc bệnh thì mới báo
plai lơngồt hơ đang bơnơm jơnhoa bơh huềng àu blouse bò,trái ngọt trên non cao từ bóng áo blouse trắng
"tơnơ̆ tŭ hùc gŏ bơta duh să ờ gơmù, hìu bơnhă jun sau mŭt tàm hìu sơnơm kơnhuàl nàng kham","sau khi uống thuốc thấy tình trạng cháu không đỡ, gia đình đưa cháu vào bệnh viện huyện để khám"
cau kòp geh tơngŏ gơtìp den geh bơsong di tŭ mờ geh phan rơcang lài nàng sơm kòp cau kòp in niam,bệnh nhân có diễn biến thì xử lý kịp thời và có trang thiết bị để điều trị bệnh nhân tốt nhất
"ƀăk sĩ pih sơnơm mờ cit jê ngan, kòn màl ngan bè broă nhơl phăo","bác sĩ xức và chích rất là đau, con rất hối hận về việc chơi pháo"
tam dră kòp suh cobid-19 hơ tiah làng bol jơi bơtiàn kòn cau,chống dịch covid-19 ở vùng đồng bào dân tộc
ăp se toh kung gơtìp bal mờ cau mè ờ ròng kòn mờ dà toh mè sơl mơya gơtìp uă rlau mờ cau ròng kòn mờ dà toh mè,bệnh gặp ở cả người mẹ không nuôi con bằng sữa mẹ nhưng gặp nhiều hơn trên đối tượng nuôi con bằng sữa mẹ
"jăt ồng hoàng minh đức, lam bồ kụk lơh sơnơm rơcăng lài drơng gơ wèt ƀộ lơh sơnơm dê, bơh bồ nam tus tŭ do, jơh gùt lơgar neh gĭt gŏ 10 rbô 196 nă cau bơtờp kòp jơng tê bơr, gơguh 2,3 dơ̆ pơndrờm bal dùl tŭ mờ nam 2023","theo ông hoàng minh đức - cục trưởng cục y tế dự phòng (bộ y tế), từ đầu năm đến nay, cả nước đã ghi nhận 10.196 trường hợp mắc tay chân miệng, tăng 2,3 lần so với cùng kỳ năm 2023"
"nàng mhar geh sền gròi kòp gơtờp, tơrmù uă ngan cau gơtìp kòp, chơ̆t, gah lơh sơnơm càr dăk lăk neh rơcang lài, lơh pràn broă lơh jăt nền nòn jơnau sồr bơh thủ tươ̆ng cĭñ phủ","để nhanh chóng kiểm soát dịch bệnh, hạn chế tối đa số ca mắc, tử vong, ngành y tế tỉnh đắk lắk đã chủ động, quyết liệt thực hiện nghiêm chỉ đạo của thủ tướng chính phủ"
"ƀăk sĩ trần thế binh pà git: “kờp bal pah ngai, khoa ngoại tơrgùm bal dờp sơm mờ reh 5 nă cau kòp as sồt pròc dŭt in, geh ngai gơguh tus 10 nă","bác sĩ trần thế vinh cho biết: “trung bình một ngày khoa ngoại tổng hợp tiếp nhận điều trị và phẫu thuật cho 5 ca bệnh viêm ruột thừa, có ngày lên đến 10 ca"
3 nam sơn rờp hùc sơnơm gŏ kòp gơ lơh ờ kơn jơ̆ đau mơya ờ gơtùi bời jơh,"3 năm đầu uống thuốc còn thấy đỡ, bệnh có thuyên giảm nhưng không hết được"
"tŭ gŏ gơlik geh ală bơta tơngŏ duh să, bơsiă, gơlik dà muh, gơlik toh pal gờñ tam cah is mờ cèng kòn dềt tus hìu sơnơm rềp ngan nàng kham, sơm kòp di tŭ, tơmù uă ngan kòp gơguh jroă lơh gơtìp kal ke","khi phát hiện có các dấu hiệu sốt, ho, chảy nước mũi, phát ban cần sớm cách ly và đưa trẻ đến các cơ sở y tế gần nhất để khám, điều trị kịp thời, hạn chế tối đa bệnh trở nặng, gây biến chứng"
"khà cau bơtờp hib/aids tàm ù tiah càr lâm đồng kung gam tàm tơngai tơrgùm tàm ală mpồl geh broă lơh pơhìn uă, is ồn là tàm mpồl cau ngir cĭt ma tŭy (31%), bĭc bài ùr klau (9,39%)","số ca nhiễm hiv/aids trên địa bàn tỉnh lâm đồng vẫn đang ở giai đoạn tập trung trong các nhóm có hành vi nguy cơ cao, đặc biệt là trong nhóm nghiện chích ma túy (31%), quan hệ tình dục khác giới (9.39%)"
"mùl màl, khà gơtờp kòp hib bơh mè tus hờ kòn geh bơh 30 tus 40%","thực tế, tỷ lệ lây nhiễm hiv từ mẹ sang con sẽ chiếm khoảng 30-40%"
